country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent,fossil_consumption,fossil_share,renewable_share,nuclear_share,biofuel_share,hydro_share,solar_share,wind_share,renewables_per_capita,fossil_per_capita
Algeria,2022,DZA,44903228.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.791,-1.608,33.338,1.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0,91.643,13.381,-2.588,-18.199,1.52521328756142e-05,0.0,-2.626,-18.415,0.0,0.0,15207.475,682.865,0.0,99.707,-7.183,-34.265,442.75,0.0,0.0,9860.092,-2.891,-29.231,21863.684,981.75,0.0,64.647,0.0,725.591,0.176,0.2,1.71,0.077,4.458,0.084,0.029,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894,17.459,238.618,0.0,0.0,5314.044,9.363,63.377,16485.305,740.243,0.0,34.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.895,684.87,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,2.676,0.04,1.777,15.183,0.682,39.584,0.744,0.26,0.0,0.0,0.027,0.234,0.01,0.61,0.011,0.004,Africa,682.865,0.997072437104852,0.0029275628951479843,0.0,0.0,0.0002920262239549,0.0025946529998393,3.9423540233913e-05,4.4651578278514855e-08,1.5207481297335684e-05
Angola,2022,AGO,35588996.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.139,7.566,18878.906,671.881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,2022,ARG,45510324.0,40418973696.0,33.704,3.512,306.113,13.931,45.484,2.07,1.441,1.392,338.275,2.465,0.346,316.387,14.399,59.107,2.69,0.0,0.0,0.0,0.0,1.872,1.438,155.48,143.67,14.353,3.656,35.302,2.1994416036238283e-05,0.0,2.708,22.519,2000.645,91.05,18765.236,854.012,63.374,85.318,-0.547,-2.511,456.83,1774.323,80.75,10037.938,7.727,29.833,9138.986,415.918,56.205,45.639,48.6,21.587,10.871,62.283,574.595,26.15,1368.55,18.201,6.222,12.323,12.782,146.961,1156.221,52.62,3229.188,36.626,14.682,11.81,7.596,-26.555,-6.849,18.687,164.139,7.47,410.6,5.199,1.867,6.893,24.684,382.783,167.215,7.61,8410.91,12.797,43.285,8383.651,381.543,5.297,38.241,7.473,2.07,0.0,3.872,0.279,45.484,0.0,164.199,1.441,0.0,0.747,3156.866,1000.973,20.654,19.632,128.275,992.083,45.15,2818.588,31.426,12.815,33.373,1.895,7.659,63.942,2.91,168.291,2.025,0.765,9.483,3.075,36.929,308.062,14.02,811.435,9.758,3.689,South America,854.012,0.8531818540560034,0.1281503097486146,0.0186688352233277,0.0139174583130613,0.062222457548805,0.007651555036949,0.0368931030107705,2.818591227783832e-06,1.8765236652676877e-05
Australia,2022,AUS,26177410.0,40418973696.0,7.797,0.096,50.855,1.331,116.513,3.05,1.212,0.08,503.179,-4.791,-21.677,16455.543,430.763,4543.23,118.93,-3.607,-119.137,121618.289,3183.652,47.254,25.931,251.68,251.68,15.151,4.307,68.598,6.345883721880813e-05,0.0,2.44,33.845,6508.666,170.38,54286.039,1421.068,67.697,85.545,4.305,17.179,416.264,1800.789,47.14,15901.653,3.1,45.942,58376.801,1528.153,18.73,25.058,126.64,7.404,2.925,44.642,595.552,15.59,1705.37,6.194,2.687,17.427,34.753,240.12,3105.731,81.3,9172.805,32.303,14.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.158,38.344,574.04,164.646,4.31,21928.844,-5.033,-10.782,7771.708,203.443,1.712,34.556,10.361,3.05,0.0,-2.939,-0.314,116.513,0.0,395.806,1.212,0.0,0.624,9614.396,1661.188,17.427,34.753,240.12,3105.731,81.3,9172.805,32.303,14.455,24.515,19.64,101.264,1279.347,33.49,3868.36,13.307,6.096,18.124,12.406,82.522,1114.32,29.17,3152.414,11.59,4.968,Oceania,1421.067,0.8554522426119139,0.14454715540926133,0.0,0.0008012338157992,0.0268735386964028,0.060958783713824,0.0496764965795563,9.172794405558074e-06,5.42860046123738e-05
Austria,2022,AUT,8939617.0,40418973696.0,-4.431,-0.221,534.141,4.775,404.939,3.62,5.596,1.251,157.52,-5.488,-1.643,3164.75,28.292,15.661,0.14,0.0,0.0,0.0,0.0,0.216,7.414,73.39,64.69,16.953,-5.464,-22.054,4.2685385738561287e-05,0.0,-6.238,-16.094,1715.957,15.34,27059.148,241.898,23.713,63.392,-12.215,-11.01,79.128,1315.493,11.76,8851.414,0.0,0.0,0.0,0.0,18.179,20.736,10.19,-8.298,-8.753,92.647,4034.848,36.07,10363.625,55.758,24.279,-3.967,-5.959,139.693,5520.37,49.35,15626.231,76.287,36.608,8.7,11.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.495,-3.441,134.479,384.804,3.44,15042.984,0.0,0.0,0.0,0.0,5.318,35.242,14.99,3.62,0.0,4.55,0.652,404.939,0.0,1676.83,5.596,0.0,3.928,7236.328,381.591,-3.967,-5.959,139.693,5520.37,49.35,15626.231,76.287,36.608,15.665,1.11,8.391,305.382,2.73,938.635,4.22,2.199,7.496,1.253,18.889,775.201,6.93,2113.0,10.713,4.95,Europe,241.899,0.6339221836993011,0.3660804369075791,0.0,0.0125133978526747,0.2427913656244513,0.0219895123312656,0.049500643358989,1.562628466074106e-05,2.705921293943577e-05
Azerbaijan,2022,AZE,10358078.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,29.033,14.95,-0.761,-1.49,1.8747879674202105e-05,0.0,-1.209,-2.317,0.0,0.0,18278.574,189.331,0.0,97.497,-5.586,-7.16,121.015,0.0,0.0,11683.125,7.32,23.285,32956.672,341.368,0.0,62.317,0.0,24.857,0.816,4.158,153.967,1.595,401.412,5.493,2.141,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.63,4.843,68.315,0.0,0.0,6595.299,-5.542,-22.728,37400.008,387.392,0.0,35.179,0.328,0.103,0.0,6.263,0.019,9.91,0.0,31.635,0.354,0.0,0.169,2802.895,194.192,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,10.326,0.014,0.159,5.879,0.061,15.329,0.21,0.082,-8.862,-0.022,0.217,8.042,0.083,20.967,0.287,0.112,Asia,189.332,0.9749732223778528,0.025031927164867757,0.0,0.0,0.0214117986322814,0.0008187772925764,0.0011174507703715,4.692955585003318e-07,1.827868065870908e-05
Bahrain,2022,BHR,1472237.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.693,-1.194,116209.859,171.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,2022,BGD,171186368.0,40418973696.0,0.0,0.0,0.0,0.0,0.175,0.03,0.035,0.0,577.027,18.036,7.631,291.742,49.942,71.267,12.2,0.0,0.0,0.0,0.0,14.314,10.018,92.83,85.23,17.097,3.969,19.028,2.912048464045922e-06,0.0,3.91,18.615,488.181,83.57,2890.08,494.742,98.052,99.246,-4.569,-13.979,291.98,301.426,51.6,1705.627,-1.474,-3.479,1358.93,232.63,60.542,58.571,49.18,13.662,0.236,2.021,5.666,0.97,11.804,1.138,0.405,12.755,0.413,3.761,9.697,1.66,21.968,1.948,0.754,7.6,8.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.524,24.963,152.82,115.488,19.77,892.711,0.0,0.0,0.0,0.0,23.196,30.656,0.012,0.03,0.0,0.0,0.0,0.175,0.0,0.072,0.035,0.0,0.002,497.878,498.503,12.755,0.413,3.761,9.697,1.66,21.968,1.948,0.754,11.896,0.177,1.715,3.797,0.65,10.016,0.763,0.344,0.0,0.0,0.013,0.058,0.01,0.077,0.012,0.003,Asia,494.742,0.9924554115020372,0.0075445884979629015,0.0,0.0,0.0040541380894397,0.0034403002589753,2.6078077764827896e-05,2.19702073473514e-08,2.890078256698571e-06
Belarus,2022,BLR,9534956.0,40418973696.0,-100.0,-0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.328,0.824,1124.454,10.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.612,0.0,39.641,13.354,-2.879,-8.798,3.1132707901326445e-05,0.0,-2.137,-6.16,0.0,0.0,29592.15,282.16,0.0,95.052,-1.595,-2.993,184.624,0.0,0.0,19362.898,0.0,0.0,0.0,0.0,0.0,62.195,0.0,0.0,-0.003,0.894,35.973,0.343,93.786,0.865,0.301,-16.352,-2.638,14.689,604.588,5.765,1540.547,14.542,4.948,0.0,0.0,-18.864,-2.781,11.733,491.874,4.69,1230.569,11.831,3.953,-4.396,-3.992,86.814,0.0,0.0,9104.797,0.0,0.0,0.0,0.0,0.0,29.245,0.839,0.263,0.0,0.0,0.0,27.55,0.0,87.945,0.663,0.0,0.282,4157.466,296.849,-3.285,0.142,2.956,112.713,1.075,309.978,2.711,0.996,68.125,0.299,0.743,29.893,0.285,77.936,0.719,0.25,0.0,-0.002,0.48,19.297,0.184,50.311,0.464,0.162,Europe,282.16,0.9505169294826664,0.009957924736145313,0.0395251457811884,0.0,0.0030116321766285,0.0025029560483612,0.0016169837189951,3.100171621138052e-07,2.9592165920849556e-05
Belgium,2022,BEL,11655923.0,40418973696.0,7.994,0.664,769.63,8.971,381.78,4.45,4.705,1.318,165.363,3.374,1.044,2744.635,31.991,3.432,0.04,0.0,0.0,0.0,0.0,0.042,4.7,87.05,94.58,13.895,-7.819,-57.737,5.839580443350561e-05,0.0,-7.948,-43.043,2263.227,26.38,42769.266,498.515,27.892,73.24,-14.193,-24.072,145.534,1983.541,23.12,12485.879,0.0,0.0,0.0,0.0,24.445,21.381,15.64,-24.508,-0.271,0.823,17.159,0.2,70.599,0.211,0.121,-6.39,-14.694,182.142,5851.102,68.2,15626.559,72.108,26.76,-7.53,-8.65,-13.103,-16.958,109.409,3786.058,44.13,9386.54,46.659,16.074,-5.869,-20.015,320.99,276.254,3.22,27538.754,0.0,0.0,0.0,0.0,3.405,47.159,14.243,4.45,0.0,-4.881,-0.731,381.78,0.0,1221.992,4.705,0.0,2.093,8114.33,680.657,4.495,2.264,72.733,2065.045,24.07,6240.019,25.449,10.686,20.519,2.952,17.653,630.581,7.35,1514.476,7.771,2.593,-0.754,-0.35,31.043,1035.525,12.07,2663.322,12.762,4.561,Europe,498.515,0.7324026638967938,0.10685705134891729,0.1607402847542888,0.0131799129370593,0.0012091258886634,0.0259352361027654,0.0456074057858804,6.240003472912441e-06,4.276924272749571e-05
Bolivia,2022,BOL,12224114.0,40418973696.0,0.0,0.0,0.0,0.0,47.447,0.58,5.146,0.0,323.869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.55,6.84,0.0,0.0,60.692,0.0,0.0,0.0,0.0,534.19,6.53,0.0,-11.545,-17.49,10962.543,134.007,57.941,0.0,3.65,0.0,0.0,0.0,235.6,2.88,0.0,25.555,0.0,0.0,0.0,0.0,362.398,4.43,0.0,39.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36,0.31,0.0,0.0,0.0,0.0,0.0,2.751,0.0,0.0,0.58,0.0,0.0,0.0,47.447,0.0,0.0,5.146,0.0,0.0,921.948,0.0,0.0,0.0,0.0,362.398,4.43,0.0,39.308,0.0,0.0,0.0,0.0,40.085,0.49,0.0,4.348,0.0,0.0,0.0,0.0,39.267,0.48,0.0,4.259,0.0,South America,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2022,BIH,3233530.0,40418973696.0,0.0,0.0,0.0,0.0,3.093,0.01,0.062,0.0,517.241,0.0,0.0,0.0,0.0,3089.503,9.99,0.0,0.0,0.0,0.0,61.515,0.0,13.24,16.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.429,10.09,0.0,0.0,62.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,1728.761,5.59,0.0,34.421,0.0,0.0,0.0,0.0,1901.946,6.15,0.0,37.869,0.0,-3.0,-22.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.926,0.1,0.0,0.0,0.0,0.0,0.0,0.616,0.0,0.0,0.01,0.0,0.0,0.0,3.093,0.0,0.0,0.062,0.0,0.0,5022.375,0.0,0.0,0.0,0.0,1901.946,6.15,0.0,37.869,0.0,0.0,0.0,0.0,40.204,0.13,0.0,0.8,0.0,0.0,0.0,0.0,129.889,0.42,0.0,2.586,0.0,Europe,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,2022,BRA,215313504.0,40418973696.0,-0.631,-1.535,1123.715,241.951,266.681,57.42,8.433,6.496,102.044,-17.81,-35.247,755.465,162.662,72.685,15.65,-11.309,-3.821,139.189,29.969,2.298,4.367,703.98,680.88,18.279,4.319,154.2,1.7299750971495033e-05,0.0,-2.948,-56.891,345.45,74.38,8699.518,1873.124,10.924,50.287,-20.942,-84.703,319.762,226.971,48.87,1485.099,-5.551,-13.506,1067.377,229.821,7.177,8.585,69.48,17.721,164.164,1113.543,1988.078,428.06,5171.727,62.869,29.895,10.758,211.091,1851.746,2816.823,606.5,8600.232,89.076,49.713,23.1,3.281,-0.99,-0.499,36.424,67.529,14.54,169.166,2.135,0.978,4.75,63.058,1390.7,45.794,9.86,6458.953,3.954,72.123,8807.444,1896.362,1.448,37.336,168.461,57.42,0.0,-5.297,-9.423,266.681,0.0,782.397,8.433,0.0,4.523,3162.272,3724.87,10.988,211.59,1815.322,2749.293,591.96,8431.066,86.94,48.735,79.835,34.708,78.544,122.983,26.48,364.788,3.889,2.109,12.929,23.675,212.824,371.551,80.0,988.44,11.75,5.714,South America,1873.124,0.5028696303495156,0.48735177335047936,0.0097785963000051,0.0649555554958965,0.2989481512106463,0.0210863734841752,0.0571359537379828,8.431064314479782e-06,8.699519376174382e-06
Brunei,2022,BRN,449002.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.163,-9.416,235925.438,105.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.78,-8.341,116233.352,52.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,2022,BGR,6781955.0,40418973696.0,63.232,1.246,474.191,3.216,383.37,2.6,5.14,1.388,399.565,19.438,11.839,10726.563,72.747,3153.958,21.39,24.465,13.542,10158.644,68.895,42.289,31.387,38.39,50.58,21.823,4.479,9.937,3.417554377756856e-05,0.0,7.555,11.333,3636.12,24.66,23789.814,161.341,48.754,69.611,-18.127,-5.986,27.035,429.08,2.91,3986.24,0.0,0.0,0.0,0.0,5.753,11.664,20.21,-21.822,-2.788,9.823,547.04,3.71,1448.331,7.335,4.238,1.384,-1.396,70.435,3821.907,25.92,10385.708,51.246,30.389,-12.19,-31.753,-0.229,-0.245,41.152,2427.029,16.46,6067.928,32.543,17.755,9.77,5.479,61.56,53.082,0.36,9077.011,0.0,0.0,0.0,0.0,0.712,26.56,7.115,2.6,0.0,-13.912,-1.15,383.37,0.0,1049.036,5.14,0.0,3.07,7458.026,231.777,3.549,-1.151,29.283,1394.878,9.46,4317.78,18.703,12.634,36.612,1.386,5.224,253.614,1.72,770.212,3.401,2.254,4.521,0.155,3.906,210.854,1.43,576.01,2.827,1.685,Europe,161.342,0.6961087597130001,0.12634126768402387,0.1775499726029761,0.0138754061015545,0.0423812543953886,0.022538905931132,0.016852405544985,4.317781524648866e-06,2.3789895391520587e-05
Burundi,2022,BDI,12889583.0,40418973696.0,0.0,0.0,0.0,0.0,0.776,0.01,2.778,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.534,0.11,0.0,0.0,30.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,17.844,0.23,0.0,63.889,0.0,0.0,0.0,0.0,19.396,0.25,0.0,69.444,0.0,0.1,21.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.534,0.11,0.0,0.0,0.0,0.0,0.0,30.556,0.0,0.0,0.01,0.0,0.0,0.0,0.776,0.0,0.0,2.778,0.0,0.0,27.93,0.0,0.0,0.0,0.0,19.396,0.25,0.0,69.444,0.0,0.0,0.0,0.0,0.776,0.01,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,2022,CAN,38454328.0,40418973696.0,-4.875,-1.204,610.979,23.495,235.604,9.06,1.419,0.598,127.816,-22.382,-30.922,2788.582,107.233,1059.439,40.74,-2.677,-9.009,8517.256,327.525,6.381,2.73,596.39,638.42,16.251,2.207,84.812,0.0001021602821924,0.0,2.38,58.33,2883.42,110.88,65239.922,2508.757,17.368,63.86,3.98,46.551,1216.283,1744.667,67.09,31629.277,7.35,126.676,48113.273,1850.164,10.509,30.96,81.6,4.087,37.133,1038.782,10207.174,392.51,27013.396,61.481,26.442,2.07,26.482,1419.748,13718.611,527.54,36920.363,82.632,36.14,-42.03,-7.047,-5.808,-14.209,216.76,2139.681,82.28,5636.829,12.888,5.518,3.737,42.7,1185.242,79.315,3.05,30822.062,2.762,85.65,82862.633,3186.427,0.478,30.17,27.197,9.06,0.0,-13.609,-4.284,235.604,0.0,707.266,1.419,0.0,0.692,16602.031,3928.505,3.655,40.691,1202.987,11578.931,445.26,31283.535,69.744,30.622,16.394,2.159,15.678,144.587,5.56,407.714,0.871,0.399,7.967,6.888,97.835,991.566,38.13,2544.18,5.973,2.49,North America,2508.758,0.6386037436633019,0.306220050629947,0.055176205706751,0.0059806465818422,0.2644217074943267,0.0039908311176898,0.0249038756473518,3.12835267853335e-05,6.523993866178079e-05
Chad,2022,TCD,17723312.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,4.432,4264.396,75.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Africa,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,2022,CHL,19603736.0,40418973696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.612,-24.587,-19.943,3120.24,61.168,977.365,19.16,0.0,0.0,0.0,0.0,23.023,12.312,83.22,83.22,16.751,4.185,19.955,2.5342720387583264e-05,0.0,-0.992,-3.579,1997.068,39.15,18217.781,357.137,47.044,71.886,9.33,6.366,74.595,810.56,15.89,3805.152,0.0,0.0,0.0,0.0,19.094,15.015,27.68,23.105,10.714,58.003,1033.987,20.27,2958.779,24.357,11.675,21.559,23.533,139.675,2248.041,44.07,7124.925,52.956,28.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,9.998,221.373,209.144,4.1,11292.39,0.0,0.0,0.0,0.0,4.927,44.559,19.564,6.23,0.46,-5.232,-1.198,317.778,23.465,997.983,7.486,0.553,3.938,4245.109,496.812,21.559,23.533,139.675,2248.041,44.07,7124.925,52.956,28.114,34.478,9.561,37.69,740.675,14.52,1922.614,17.448,7.586,22.778,4.457,24.417,449.914,8.82,1245.55,10.598,4.915,South America,357.136,0.7188554221717672,0.2811425649944043,0.0,0.0,0.1167504005539318,0.0758637069958052,0.0491473635902514,7.124917413701144e-06,1.8217751963197217e-05
China,2022,CHN,1425887360.0,40418973696.0,-1.205,-0.34,19.549,27.874,120.718,172.13,1.947,0.063,531.151,1.004,244.012,17224.002,24559.486,3801.976,5421.19,10.523,2439.045,17965.668,25617.02,61.332,55.469,8821.43,8839.13,19.964,0.918,402.844,3.105148081262183e-05,0.0,-0.497,-180.648,4004.72,5710.28,25344.26,36138.059,64.602,81.62,-1.2,-45.632,3757.047,193.921,276.51,2634.884,6.036,126.285,1555.813,2218.414,3.128,8.486,4694.91,0.24,-4.256,3397.424,924.491,1318.22,2382.674,14.913,7.673,8.022,583.496,8137.857,2194.318,3128.85,5707.223,35.398,18.38,-17.7,-0.201,2.528,22.037,1045.25,292.891,417.63,733.053,4.725,2.361,-4.622,-379.029,7821.524,8.823,12.58,5485.373,2.936,67.907,1669.763,2380.894,0.142,17.665,563.745,176.629,0.0,6.451,34.161,123.873,0.0,395.364,1.998,0.0,1.273,6199.038,44275.914,8.926,561.459,7092.607,1901.426,2711.22,4974.17,30.673,16.019,30.8,259.46,1115.113,294.799,420.35,782.049,4.756,2.519,16.3,272.433,1988.45,561.419,800.52,1394.535,9.057,4.491,Asia,36138.057,0.816201264642442,0.16019109170733326,0.0236076436502248,0.0006295522211015,0.0767330065732804,0.0251855444474844,0.0449104224025731,4.974170610503202e-06,2.5344257908282465e-05
